"","name","position","points","available"
"268","Bernard Pierce","RB",49.9,"available"
"269","Lance Dunbar","RB",49.6,"available"
"270","Marlon Brown","WR/TE",49.5,"available"
"271","Michael Vick","QB",49.46,"available"
"272","Brandon Lloyd","WR/TE",49.4,"available"
"273","Bruce Miller","RB",47.8,"available"
"274","Rhett Ellison","WR/TE",47.8,"available"
"275","Jim Dray","WR/TE",47.2,"available"
"276","Ben Watson","WR/TE",45.6,"available"
"277","Chris Polk","RB",44.8,"available"
"278","Bryce Brown","RB",44.2,"available"
"279","Garrett Graham","WR/TE",43.7,"available"
"280","Gavin Escobar","WR/TE",43.5,"available"
"281","Nick Toon","WR/TE",42.9,"available"
"282","Cooper Helfet","WR/TE",42.5,"available"
"283","Albert Wilson","WR/TE",42,"available"
"284","Ladarius Green","WR/TE",41.6,"available"
"285","Bilal Powell","RB",40.3,"available"
"286","Kyle Juszczyk","RB",39.2,"available"
"287","Fozzy Whittaker","RB",37.5,"available"
"288","Montee Ball","RB",36.4,"available"
"289","Chad Henne","QB",36.18,"available"
"290","Jacob Tamme","WR/TE",34.9,"available"
"291","Silas Redd","RB",32.2,"available"
"292","Peyton Hillis","RB",30.2,"available"
"293","Jonathan Grimes","RB",29.9,"available"
"294","DeAngelo Williams","RB",29.3,"available"
"295","Matt Cassel","QB",28.8,"available"
"296","Kerwynn Williams","RB",27.7,"available"
"297","Case Keenum","QB",26.9,"available"
"298","Ka'Deem Carey","RB",26.5,"available"
"299","Ryan Lindley","QB",26.48,"available"
"300","Brandon Weeden","QB",26.02,"available"
"301","Joe McKnight","RB",24.7,"available"
"302","Ryan Mallett","QB",23.8,"available"
"303","Rod Streater","WR/TE",23.4,"available"
"304","Knowshon Moreno","RB",22.6,"available"
"305","Rob Housler","WR/TE",22,"available"
"306","Storm Johnson","RB",21.2,"available"
"307","Matt Hasselbeck","QB",20.94,"available"
"308","Jimmy Clausen","QB",19.82,"available"
"309","Christine Michael","RB",19.7,"available"
"310","Virgil Green","WR/TE",19.7,"available"
"311","Brandon Bolden","RB",17.7,"available"
"312","Josh Huff","WR/TE",15.8,"available"
"313","Jimmy Garoppolo","QB",14.18,"available"
"314","Danny Woodhead","RB",12.2,"available"
"315","Johnny Manziel","QB",11.9,"available"
"316","Adrian Peterson","RB",11.3,"available"
"317","James White","RB",11.1,"available"
"318","Brock Osweiler","QB",8.08,"available"
"319","Tyler Eifert","WR/TE",6.7,"available"
"320","Cody Latimer","WR/TE",4.3,"available"
"321","Jameis Winston","QB",0,"available"
"322","Marcus Mariota","QB",0,"available"
"323","Sam Bradford","QB",0,"available"
"324","Melvin Gordon","RB",0,"available"
"325","Todd Gurley","RB",0,"available"
"326","Tevin Coleman","RB",0,"available"
"327","Ameer Abdullah","RB",0,"available"
"328","Ryan Williams","RB",0,"available"
"329","David Cobb","RB",0,"available"
"330","Jay Ajayi","RB",0,"available"
"331","David Johnson","RB",0,"available"
"332","Cameron Artis-Payne","RB",0,"available"
"333","Duke Johnson","RB",0,"available"
"334","Matt Jones","RB",0,"available"
"335","Tyler Gaffney","RB",0,"available"
"336","Mike Davis","RB",0,"available"
"337","Buck Allen","RB",0,"available"
"338","Josh Robinson","RB",0,"available"
"339","Kendall Hunter","RB",0,"available"
"340","T.J. Yeldon","RB",0,"available"
"341","Jeremy Langford","RB",0,"available"
"342","Amari Cooper","WR/TE",0,"available"
"343","Kevin White","WR/TE",0,"available"
"344","Nelson Agholor","WR/TE",0,"available"
"345","Breshad Perriman","WR/TE",0,"available"
"346","DeVante Parker","WR/TE",0,"available"
"347","Dorial Green-Beckham","WR/TE",0,"available"
"348","Marvin Jones","WR/TE",0,"available"
"349","Jaelen Strong","WR/TE",0,"available"
"350","Tyler Lockett","WR/TE",0,"available"
"351","Devin Funchess","WR/TE",0,"available"
"352","Devin Smith","WR/TE",0,"available"
"353","Phillip Dorsett","WR/TE",0,"available"
"354","Sammie Coates","WR/TE",0,"available"
"355","Justin Blackmon","WR/TE",0,"available"
"356","Brandon Coleman","WR/TE",0,"available"
"357","Kenny Bell","WR/TE",0,"available"
"358","Justin Hardy","WR/TE",0,"available"
"359","Chris Conley","WR/TE",0,"available"
"360","Maxx Williams","WR/TE",0,"available"
"361","Tyler Kroft","WR/TE",0,"available"
"362","Bruce Gradkowski","QB",-0.2,"available"
"363","Tyrod Taylor","QB",-0.3,"available"
